CodigoProduto;DescricaoProduto;UnidadeMedida;GradeEstoque;GradeCadastrada;Reserva;Saida;SaldoDisponivel
21900;NOVECENTO ESPUMANTE ARGENTINO DULCE GFA OW 750ML CX C/6 NPAL;Caixa;1;102;0;0;102
21900;NOVECENTO ESPUMANTE ARGENTINO DULCE GFA OW 750ML CX C/6 NPAL;Caixa;2;153;0;0;153
21946;ORIGINAL LT 269ML SH C15 NPAL;Caixa;2;11845;0;11509;336
21946;ORIGINAL LT 269ML SH C15 NPAL;Caixa;1;7896;0;36;7860
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;Unidade;2;274;0;0;274
21955;CHIVAS REGAL 12 ANOS GARRAFA VIDRO 1 L;Unidade;1;182;0;0;182
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21;Caixa;2;2766;0;0;2766
21968;TRIDENT HORTELA ENVELOPE 8G CX C/21;Caixa;1;1844;0;9;1835
21970;TRIDENT MENTA ENVELOPE 8G CX C/21;Caixa;2;27;0;0;27
21970;TRIDENT MENTA ENVELOPE 8G CX C/21;Caixa;1;18;0;6;12
21973;TRIDENT MELANCIA ENVELOPE 8G CX C/21;Caixa;1;8;0;4;4
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;Caixa;2;2280;0;0;2280
21974;TRIDENT TUTTI-FRUTTI ENVELOPE 8G CX C/21;Caixa;1;1520;0;6;1514
22003;HALLS CEREJA ENVELOPE 28G CX C/21;Caixa;1;171;0;4;167
22003;HALLS CEREJA ENVELOPE 28G CX C/21;Caixa;2;257;0;0;257
22005;HALLS MENTA ENVELOPE 28G CX C/21;Caixa;1;204;0;2;202
22005;HALLS MENTA ENVELOPE 28G CX C/21;Caixa;2;306;0;0;306
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21;Caixa;2;1124;0;0;1124
22007;HALLS EXTRA FORTE ENVELOPE 28G CX C/21;Caixa;1;749;0;25;724
22009;CHICLETE ADAMS HORTELA CAIXINHA 2,8G CX C/100;Caixa;2;206;0;0;206
22009;CHICLETE ADAMS HORTELA CAIXINHA 2,8G CX C/100;Caixa;1;137;0;2;135
22027;COLORADO APPIA LT SLEEK 350ML C8 CX CARTAO NPAL;Caixa;1;3;0;0;3
22027;COLORADO APPIA LT SLEEK 350ML C8 CX CARTAO NPAL;Caixa;2;40;0;11;29
22106;MINI OREO PCT 35G CX C/10;Caixa;1;368;0;1;367
22177;BUDWEISER ZERO LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;395;0;99;296
22177;BUDWEISER ZERO LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;32;0;9;23
22180;BUDWEISER ZERO LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;11;0;11;0
22200;TONICA ANTARCTICA PET 1 L SH C/06;Caixa;2;0;0;0;0
22200;TONICA ANTARCTICA PET 1 L SH C/06;Caixa;1;16;0;1;15
22202;TONICA ANTARCTICA ZERO PET 1L SH C/06;Caixa;2;321;0;311;10
22202;TONICA ANTARCTICA ZERO PET 1L SH C/06;Caixa;1;218;0;1;217
22235;HOEGAARDEN WHITE NAC LT 269ML CX CARTAO C/8 NPAL;Caixa;2;0;0;0;0
22235;HOEGAARDEN WHITE NAC LT 269ML CX CARTAO C/8 NPAL;Caixa;1;16;0;0;16
22249;GOOSE ISLAND MIDWAY NAC LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;47;0;0;47
22249;GOOSE ISLAND MIDWAY NAC LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;11;0;0;11
22259;SUKITA UVA PET 200ML SH C/12;Caixa;1;155;0;9;146
22259;SUKITA UVA PET 200ML SH C/12;Caixa;2;233;0;52;181
22382;PASSPORT SELECTION GARRAFA VIDRO 1 L;Unidade;1;8;0;6;2
22382;PASSPORT SELECTION GARRAFA VIDRO 1 L;Unidade;2;12;0;0;12
22470;HEINZ KETCHUP PCT FP 397G;Unidade;1;864;0;0;864
22470;HEINZ KETCHUP PCT FP 397G;Unidade;2;1297;0;0;1297
22505;JIM BEAM HONEY GARRAFA VIDRO 1 L;Unidade;2;82;0;0;82
22505;JIM BEAM HONEY GARRAFA VIDRO 1 L;Unidade;1;55;0;0;55
22507;JIM BEAM FIRE GARRAFA VIDRO 1 L;Unidade;1;87;0;0;87
22507;JIM BEAM FIRE GARRAFA VIDRO 1 L;Unidade;2;131;0;0;131
22562;DOMECQ COQ. COMPOSTO GARRAFA VIDRO 1 L;Unidade;1;60;0;7;53
22562;DOMECQ COQ. COMPOSTO GARRAFA VIDRO 1 L;Unidade;2;90;0;0;90
23028;BUCHANANS WHISKY DELUXE 12 ANOS GARRAFA VIDRO 1 L;Unidade;2;24;0;0;24
23028;BUCHANANS WHISKY DELUXE 12 ANOS GARRAFA VIDRO 1 L;Unidade;1;16;0;0;16
23029;JOHNNIE WALKER BLACK LABEL GARRAFA VIDRO 1 L;Unidade;1;63;0;0;63
23163;SUKITA TUBAINA PET 2L SHRINK C/6;Caixa;2;61;0;0;61
23163;SUKITA TUBAINA PET 2L SHRINK C/6;Caixa;1;28;0;1;27
23186;SPATEN N 600ML;Duzia;2;147;0;0;147
23186;SPATEN N 600ML;Duzia;1;4084;0;263;3821
23220;PATAGONIA IPA ONE WAY 740ML CX6;Caixa;2;65;0;0;65
23246;PIRACANJUBA LEITE CONDENSADO TETRAPAK 395G CX C/27;Caixa;2;58;0;0;58
23246;PIRACANJUBA LEITE CONDENSADO TETRAPAK 395G CX C/27;Caixa;1;39;0;0;39
23256;PIRACANJUBA CREME DE LEITE TETRAPAK 200G CX C/27;Caixa;2;97;0;0;97
23256;PIRACANJUBA CREME DE LEITE TETRAPAK 200G CX C/27;Caixa;1;64;0;0;64
23269;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/4;Caixa;2;36;0;11;25
23269;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;42;0;0;42
23271;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/4;Caixa;2;254;0;1;253
23271;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;146;0;2;144
23441;SALINAS CRISTALINA CACHACA GARRAFA VIDRO 1 L;Unidade;1;6;0;0;6
23449;MIKES HARD LEMONADE N LT 269ML SH C12 NP;Caixa;1;212;0;0;212
23449;MIKES HARD LEMONADE N LT 269ML SH C12 NP;Caixa;2;212;0;0;212
23450;MIKES HARD LEMONADE PITAIA N LT 269ML SH C12 NP;Caixa;1;8;0;0;8
23463;AGUA MINERAL S/ GAS AMA GFA PET 500ML PACK C/12 NOVO SHAPE;Caixa;1;246;0;0;246
23463;AGUA MINERAL S/ GAS AMA GFA PET 500ML PACK C/12 NOVO SHAPE;Caixa;2;80;0;4;76
23546;INDAIA AGUA MINERAL C/GAS GFA PET 500ML PACK C/12;Caixa;1;1053;0;41;1012
23546;INDAIA AGUA MINERAL C/GAS GFA PET 500ML PACK C/12;Caixa;2;1580;0;10;1570
23548;INDAIA AGUA MINERAL C/GAS GFA PET 330ML FD C/12;Caixa;1;93;0;0;93
23548;INDAIA AGUA MINERAL C/GAS GFA PET 330ML FD C/12;Caixa;2;140;0;0;140
23550;INDAIA AGUA MINERAL S/GAS GFA PET 330ML FD C/12;Caixa;1;186;0;0;186
23550;INDAIA AGUA MINERAL S/GAS GFA PET 330ML FD C/12;Caixa;2;279;0;0;279
23552;INDAIA AGUA MINERAL S/GAS GFA PET 500ML PACK C/12;Caixa;2;870;0;26;844
23552;INDAIA AGUA MINERAL S/GAS GFA PET 500ML PACK C/12;Caixa;1;580;0;49;531
23554;GRAN DANTE MALBEC GFA OW 750ML CX C6;Caixa;2;52;0;0;52
23554;GRAN DANTE MALBEC GFA OW 750ML CX C6;Caixa;1;35;0;0;35
23556;GRAN DANTE BONARDA GFA OW 750ML CX C6;Caixa;2;14;0;0;14
23556;GRAN DANTE BONARDA GFA OW 750ML CX C6;Caixa;1;9;0;0;9
23560;DANTE ROBINO EXTRA BRUT GFA OW 750ML CX C-6;Caixa;1;16;0;0;16
23562;DANTE ROBINO CABERNET SAUVIGNON GFA OW 750ML CX C 6;Caixa;2;177;0;0;177
23562;DANTE ROBINO CABERNET SAUVIGNON GFA OW 750ML CX C 6;Caixa;1;118;0;0;118
23564;DANTE ROBINO MALBEC GFA OW 750ML CX C 6;Caixa;2;161;0;0;161
23564;DANTE ROBINO MALBEC GFA OW 750ML CX C 6;Caixa;1;107;0;0;107
23594;PIRAKIDS BEBIDA LACTEA CHOCOLATE TETRA PAK 200 ML CX C/27;Caixa;2;97;0;0;97
23594;PIRAKIDS BEBIDA LACTEA CHOCOLATE TETRA PAK 200 ML CX C/27;Caixa;1;64;0;0;64
24158;PATAGONIA IPA 600ML;Duzia;1;17;0;0;17
24306;RED BULL MELANCIA LATA 250ML FOUR PACK NPAL;Caixa;1;1178;0;15;1163
24411;QUINTA DO MORGADO VINHO BRANCO SECO GFA VD 750 ML;Unidade;2;873;0;0;873
24411;QUINTA DO MORGADO VINHO BRANCO SECO GFA VD 750 ML;Unidade;1;582;0;0;582
24413;QUINTA DO MORGADO VINHO BORDO MEIO SECO GFA VD 750 ML;Unidade;1;8;0;0;8
24413;QUINTA DO MORGADO VINHO BORDO MEIO SECO GFA VD 750 ML;Unidade;2;12;0;0;12
25151;OLD PARR WHISKY GFA VDR 1L;Unidade;1;91;0;0;91
25151;OLD PARR WHISKY GFA VDR 1L;Unidade;2;136;0;0;136
25303;GARRAFEIRA PL. PRETO BEES 1 UN P/24 GFA 600ML;Unidade;1;781;0;0;781
25546;GARRAFEIRA PL. AL. LAT. AB. PRETA BEES 1 UN P/ 23 GFA 300ML;Unidade;1;847;0;0;847
25700;FUSION PET 2L SHRINK C/6;Caixa;2;0;0;0;0
25700;FUSION PET 2L SHRINK C/6;Caixa;1;15;0;1;14
26204;SPATEN N LT 269ML CX CARTAO C/8 NPAL;Caixa;1;3841;0;41;3800
26204;SPATEN N LT 269ML CX CARTAO C/8 NPAL;Caixa;2;17824;0;64;17760
26607;RED BULL PITAYA LATA 250ML FOUR PACK NPAL;Caixa;1;2305;0;2;2303
26850;LEBRINHA AGUA MINERAL COM GAS GFA PET 500ML PACK C/12;Caixa;2;127;0;0;127
26850;LEBRINHA AGUA MINERAL COM GAS GFA PET 500ML PACK C/12;Caixa;1;84;0;2;82
26862;LEBRINHA AGUA MINERAL SEM GAS GFA PLAST 497ML CX12;Caixa;1;4;0;1;3
26864;LEBRINHA AGUA MINERAL SEM GAS GFA PET 1500ML CX 6;Caixa;2;43;0;0;43
26864;LEBRINHA AGUA MINERAL SEM GAS GFA PET 1500ML CX 6;Caixa;1;28;0;0;28
26936;YPIOCA CONTA GOTAS GOLD GARRAFA VIDRO 965ML;Unidade;1;66;0;23;43
26936;YPIOCA CONTA GOTAS GOLD GARRAFA VIDRO 965ML;Unidade;2;100;0;0;100
27001;GORDONS GIN DRY GFA VD 750 ML;Unidade;1;68;0;0;68
27177;HALLS MENTOL ENVELOPE 28G CX C/21;Caixa;2;218;0;0;218
27177;HALLS MENTOL ENVELOPE 28G CX C/21;Caixa;1;145;0;1;144
27179;HALLS MORANGO ENVELOPE 28G CX C/21;Caixa;1;100;0;6;94
27179;HALLS MORANGO ENVELOPE 28G CX C/21;Caixa;2;150;0;0;150
27375;SAO FRANCISCO CACHACA GARRAFA VD 970ML;Unidade;2;531;0;0;531
27375;SAO FRANCISCO CACHACA GARRAFA VD 970ML;Unidade;1;354;0;35;319
27426;QUERO MOLHO TOMATE TRAD. SACHE 300G CX 24;Caixa;2;12;0;0;12
27426;QUERO MOLHO TOMATE TRAD. SACHE 300G CX 24;Caixa;1;8;0;0;8
27686;MIKES HARD LEMONADE N LONG NECK 275ML SIX PACK SH C/4;Caixa;1;37;0;0;37
27686;MIKES HARD LEMONADE N LONG NECK 275ML SIX PACK SH C/4;Caixa;2;50;0;0;50
27704;MIKES HARD LEMONADE PITAIA N LONG NECK 275ML SIX PACK SH C/4;Caixa;2;15;0;0;15
27704;MIKES HARD LEMONADE PITAIA N LONG NECK 275ML SIX PACK SH C/4;Caixa;1;10;0;0;10
27825;DOMUS CONHAQUE GARRAFA VIDRO 900ML;Unidade;1;1;0;0;1
27866;CORONA CERO SUNBREW N LONG NECK 330 ML SP BASKET CX C4;Caixa;2;168;0;54;114
27866;CORONA CERO SUNBREW N LONG NECK 330 ML SP BASKET CX C4;Caixa;1;26;0;14;12
28137;SKOL BEATS CAIPIRINHA LT 269ML CX CARTAO C/8 NPAL;Caixa;1;3;0;2;1
28512;PEPSI BLACK PET 1,5 SHRINK C/6;Caixa;1;2989;0;5;2984
28512;PEPSI BLACK PET 1,5 SHRINK C/6;Caixa;2;0;0;0;0
28700;OREO ORIGINAL BISCOITO RECHEADO PACOTE 36G CX8;Caixa;1;18;0;6;12
28700;OREO ORIGINAL BISCOITO RECHEADO PACOTE 36G CX8;Caixa;2;28;0;0;28
29197;TANG REFRESCO EM PO LIMAO PCT 18G DP C/18;Caixa;1;82;0;1;81
29197;TANG REFRESCO EM PO LIMAO PCT 18G DP C/18;Caixa;2;123;0;0;123
29199;TANG REFRESCO EM PO LARANJA PCT 18G DP C/18;Caixa;2;112;0;0;112
29199;TANG REFRESCO EM PO LARANJA PCT 18G DP C/18;Caixa;1;74;0;2;72
29201;TANG REFRESCO EM PO ABACAXI PCT 18G DP C/18;Caixa;1;148;0;0;148
29207;TANG REFRESCO EM PO MORANGO PCT 18G DP C/18;Caixa;1;31;0;28;3
29209;TANG REFRESCO EM PO MARACUJA PCT 18G DP C/18;Caixa;1;109;0;5;104
29209;TANG REFRESCO EM PO MARACUJA PCT 18G DP C/18;Caixa;2;164;0;0;164
29215;TANG REFRESCO EM PO UVA PCT 18G DP C/18;Caixa;2;11;0;0;11
29215;TANG REFRESCO EM PO UVA PCT 18G DP C/18;Caixa;1;7;0;0;7
29253;ORIGINAL GFA VD 1L;Duzia;1;302;0;14;288
29460;YVY GIN SECO CONTEMPORANEO AR GFA VD 750 ML;Unidade;1;5;0;0;5
29461;YVY GIN SECO NATIVO TERRA GFA VD 750 ML;Unidade;1;16;0;0;16
29462;YVY GIN SECO CLASSICO MAR GFA VD 750 ML;Unidade;2;668;0;0;668
29462;YVY GIN SECO CLASSICO MAR GFA VD 750 ML;Unidade;1;445;0;0;445
29463;YVY GIN SECO CONTEMPORANEO AR LATA DE ALUMINIO 710ML;Unidade;1;18;0;0;18
29463;YVY GIN SECO CONTEMPORANEO AR LATA DE ALUMINIO 710ML;Unidade;2;27;0;0;27
29474;YVY GIN SECO CLASSICO MAR LATA DE ALUMINIO 710ML;Unidade;1;5;0;1;4
29477;YVY VODKA LATA DE ALUMINIO 710ML;Unidade;1;167;0;0;167
29477;YVY VODKA LATA DE ALUMINIO 710ML;Unidade;2;251;0;0;251
29481;YVY VODKA GFA VD 750 ML;Unidade;1;233;0;0;233
29481;YVY VODKA GFA VD 750 ML;Unidade;2;349;0;0;349
29485;SKOL BEATS CAIPIRINHA LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;138;0;0;138
29485;SKOL BEATS CAIPIRINHA LONG NECK 269ML SIX-PACK SH C/4;Caixa;2;260;0;16;244
29495;GATORADE ZERO CAL FRUTAS SILV PET 350ML SH C12;Caixa;1;288;0;5;283
29503;YVY GIN SECO NATIVO TERRA LATA DE ALUMINIO 710ML;Unidade;2;25;0;0;25
29503;YVY GIN SECO NATIVO TERRA LATA DE ALUMINIO 710ML;Unidade;1;17;0;0;17
29518;JOHNNIE WALKER WHISKY BLONDE GFA VD 750 ML;Unidade;1;112;0;0;112
29518;JOHNNIE WALKER WHISKY BLONDE GFA VD 750 ML;Unidade;2;168;0;0;168
29580;STELLA ARTOIS PURE GOLD LONG NECK 330ML SP SH C/4;Caixa;2;4364;0;696;3668
29580;STELLA ARTOIS PURE GOLD LONG NECK 330ML SP SH C/4;Caixa;1;2055;0;169;1886
29627;QUERO KETCHUP SQUEEZE 400 G;Unidade;2;1185;0;0;1185
29627;QUERO KETCHUP SQUEEZE 400 G;Unidade;1;790;0;0;790
29703;BUDWEISER GFA VD 300ML CX C/23;Caixa;1;756;0;7;749
29733;HALLS MELANCIA ENVELOPE 28G CX C/21;Caixa;1;17;0;8;9
29733;HALLS MELANCIA ENVELOPE 28G CX C/21;Caixa;2;26;0;0;26
29974;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/2;Caixa;1;930;0;5;925
29974;SKOL BEATS GT LONG NECK 269ML SIX-PACK SH C/2;Caixa;2;930;0;0;930
29991;SKOL BEATS SENSES LONG NECK 269ML SIX-PACK SH C/2;Caixa;1;165;0;4;161
30045;RED BULL BR LATA 473ML CX C 12;Caixa;1;155;0;0;155
30854;BUBBALOO BALA MIX DISPLAY 15G CX/12;Caixa;1;14;0;0;14
30942;SPATEN N LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;2;1292;0;50;1242
30942;SPATEN N LONG NECK 330ML SIX-PACK SHRINK C/4;Caixa;1;1493;0;45;1448
31064;BUDWEISER LT 269ML SH C 15;Caixa;2;25466;0;105;25361
31064;BUDWEISER LT 269ML SH C 15;Caixa;1;4359;0;105;4254
31072;QUERO MOLHO DE PIMENTA FRASCO PLAST 150ML;Unidade;2;3437;0;0;3437
31072;QUERO MOLHO DE PIMENTA FRASCO PLAST 150ML;Unidade;1;2291;0;11;2280
31108;MIKES GUARANA N LONG NECK 275ML SIX PACK SH C/4;Caixa;1;130;0;0;130
31108;MIKES GUARANA N LONG NECK 275ML SIX PACK SH C/4;Caixa;2;130;0;0;130
31272;FUSION LT 473ML SH C/12 NPAL;Caixa;1;1;0;0;1
31791;YPE MULTIUSO CLASSICO FRASCO PLAST 500ML CX/12;Caixa;1;7;0;0;7
31791;YPE MULTIUSO CLASSICO FRASCO PLAST 500ML CX/12;Caixa;2;11;0;0;11
31795;BRUTAL FRUIT LONG NECK 275ML SIX PACK SH C 2;Caixa;2;1110;0;40;1070
31795;BRUTAL FRUIT LONG NECK 275ML SIX PACK SH C 2;Caixa;1;639;0;1;638
31875;PIRACANJUBA WHEY MORANGO TETRAPAK 250ML CX C/12;Caixa;1;198;0;1;197
31894;PIRACANJUBA PROTEIN WHEY CHOCOLATE TETRAPAK 250ML CX C/12;Caixa;1;230;0;2;228
31962;FUSION MELANCIA PET 2L SHRINK C/6;Caixa;2;95;0;0;95
31962;FUSION MELANCIA PET 2L SHRINK C/6;Caixa;1;38;0;0;38
32067;GATORADE BERRY BLUE PET 500ML SIXPACK;Caixa;1;165;0;149;16
32067;GATORADE BERRY BLUE PET 500ML SIXPACK;Caixa;2;793;0;386;407
32159;QUERO MOLHO DE ALHO FRASCO PLAST 150ML;Unidade;1;4727;0;0;4727
32164;GUARAVITON NAT ACAI GFA PET 500ML PACK C/12 SP;Caixa;1;4;0;0;4
32169;GUARAVITA NAT COPO PLAST 290ML CX/24 SP;Caixa;2;100;0;0;100
32169;GUARAVITA NAT COPO PLAST 290ML CX/24 SP;Caixa;1;67;0;9;58
32173;GUARAVITON NAT GINSENG GFA PET 500ML PACK C/12 SP;Caixa;2;10;0;5;5
32173;GUARAVITON NAT GINSENG GFA PET 500ML PACK C/12 SP;Caixa;1;7;0;2;5
32355;YPE LAVA LOUCAS LIQUIDO NEUTRO FRASCO PLAST 500ML CX/6;Caixa;2;57;0;0;57
32355;YPE LAVA LOUCAS LIQUIDO NEUTRO FRASCO PLAST 500ML CX/6;Caixa;1;38;0;1;37
32361;BEATS TROPICAL LONG NECK 269ML SIX-PACK SH C/4;Caixa;1;63;0;0;63
32361;BEATS TROPICAL LONG NECK 269ML SIX-PACK SH C/4;Caixa;2;101;0;17;84
32392;CORONA EXTRA N LT 269ML CX CARTAO C/8 NPAL;Caixa;2;300;0;235;65
32392;CORONA EXTRA N LT 269ML CX CARTAO C/8 NPAL;Caixa;1;85;0;29;56
32500;STELLA ARTOIS PURE GOLD LT SLEEK 350ML C 8 CX CARTAO;Caixa;1;97;0;31;66
32500;STELLA ARTOIS PURE GOLD LT SLEEK 350ML C 8 CX CARTAO;Caixa;2;233;0;188;45
32541;RENO VINHO TINTO GFA VD 750 ML;Unidade;1;82;0;0;82
32541;RENO VINHO TINTO GFA VD 750 ML;Unidade;2;123;0;0;123
32543;ALECRIM VINHO TINTO PORTUGAL GFA VD 750 ML;Unidade;2;447;0;0;447
32543;ALECRIM VINHO TINTO PORTUGAL GFA VD 750 ML;Unidade;1;298;0;5;293
32547;CHAC CHAC VINHO BRANCO GFA VD 750 ML;Unidade;1;62;0;0;62
32547;CHAC CHAC VINHO BRANCO GFA VD 750 ML;Unidade;2;93;0;0;93
32549;CHAC CHAC VINHO TINTO MALBEC GFA VD 750 ML;Unidade;2;94;0;0;94
32549;CHAC CHAC VINHO TINTO MALBEC GFA VD 750 ML;Unidade;1;63;0;5;58
32644;BUBBALOO UVA DISPLAY 5G CX/60;Caixa;2;122;0;0;122
32644;BUBBALOO UVA DISPLAY 5G CX/60;Caixa;1;81;0;1;80
32646;BUBBALOO TUTTI FRUTTI DISPLAY 5G CX/60;Caixa;2;72;0;0;72
32646;BUBBALOO TUTTI FRUTTI DISPLAY 5G CX/60;Caixa;1;48;0;2;46
32648;BUBBALOO MORANGO DISPLAY 5G CX/60;Caixa;2;212;0;0;212
32648;BUBBALOO MORANGO DISPLAY 5G CX/60;Caixa;1;141;0;3;138
32749;CORONA EXTRA N 600ML;Duzia;1;1093;0;0;1093
32785;CORONA EXTRA N ONE WAY 600ML GARRAFEIRA C/24;Caixa;1;145;0;3;142
32854;SMIRNOFF ICE LT 269 ML CX C/24;Caixa;1;153;0;3;150
32947;MIKES GUARANA N LT 269ML SH C12 NP;Caixa;2;123;0;0;123
32947;MIKES GUARANA N LT 269ML SH C12 NP;Caixa;1;127;0;0;127
32969;RED BULL SUMMER MORANGO E PESSEGO LATA 250ML FOUR PACK NPAL;Caixa;1;427;0;2;425
33213;DANTE ROBINO LEGADO BLEND DE BLANCAS GARRAFA VD 750ML CX C6;Caixa;1;18;0;0;18
33213;DANTE ROBINO LEGADO BLEND DE BLANCAS GARRAFA VD 750ML CX C6;Caixa;2;27;0;0;27
33214;DANTE ROBINO BONARDA GARRAFA VD 750ML CX C6;Caixa;1;36;0;0;36
33214;DANTE ROBINO BONARDA GARRAFA VD 750ML CX C6;Caixa;2;54;0;0;54
33215;DANTE ROBINO LEGADO BONARDA GARRAFA VD 750ML CX C6;Caixa;1;35;0;0;35
33215;DANTE ROBINO LEGADO BONARDA GARRAFA VD 750ML CX C6;Caixa;2;53;0;0;53
33216;DANTE ROBINO LEGADO MALBEC GARRAFA VD 750ML CX C6;Caixa;1;14;0;0;14
33216;DANTE ROBINO LEGADO MALBEC GARRAFA VD 750ML CX C6;Caixa;2;22;0;0;22
33217;DANTE ROBINO WHITE BLEND GARRAFA VD 750ML CX C6;Caixa;2;36;0;0;36
33217;DANTE ROBINO WHITE BLEND GARRAFA VD 750ML CX C6;Caixa;1;24;0;0;24
33218;DANTE ROBINO LEGADO CABERNET SAUVIGNON GARRAFA VD 750ML CX C;Caixa;2;90;0;0;90
33218;DANTE ROBINO LEGADO CABERNET SAUVIGNON GARRAFA VD 750ML CX C;Caixa;1;60;0;0;60
33219;NOVECENTO VINHO ARG BLEND DE BLANC GARRAFA VD 750 ML CX C6;Caixa;2;573;0;0;573
33219;NOVECENTO VINHO ARG BLEND DE BLANC GARRAFA VD 750 ML CX C6;Caixa;1;382;0;0;382
33220;GRAN DANTE NATURE GFA VD 750ML CX C3;Caixa;2;53;0;0;53
33220;GRAN DANTE NATURE GFA VD 750ML CX C3;Caixa;1;35;0;0;35
33488;HEINZ MOSTARDA SACHE 5G CX C/144;Caixa;1;281;0;1;280
33597;PEPSI BLACK LT 269ML SH C15 NPAL;Caixa;2;5164;0;341;4823
33734;BEATS RED MIX LT 269ML SH C/8;Caixa;2;356;0;236;120
33734;BEATS RED MIX LT 269ML SH C/8;Caixa;1;37;0;8;29
33738;BEATS RED MIX LONG NECK 269ML SIX-PACK SH C/2;Caixa;1;5;0;3;2
34296;TRIDENT CANELA ENVELOPE 8G CX C/21;Caixa;1;3;0;1;2
34296;TRIDENT CANELA ENVELOPE 8G CX C/21;Caixa;2;5;0;0;5
34298;TRIDENT MORANGO ENVELOPE 8G CX C/21;Caixa;2;59;0;0;59
34298;TRIDENT MORANGO ENVELOPE 8G CX C/21;Caixa;1;39;0;4;35
34410;HALLS UVA VERDE ENVELOPE 28G CX C/21;Caixa;2;166;0;0;166
34410;HALLS UVA VERDE ENVELOPE 28G CX C/21;Caixa;1;111;0;4;107
34420;RED BULL SUMMER MARACUJA E MELAO LATA 250ML FOUR PACK NPAL;Caixa;1;777;0;0;777
34429;RED BULL SUGAR FREE AMORA LATA 250ML FOUR PACK NPAL;Caixa;1;777;0;0;777
34770;RED BULL SUGAR FREE POMELO LATA 250ML FOUR PACK NPAL;Caixa;1;777;0;0;777
